ID,Slope,Silvicultural Treatment,Fraction_Piled_Residues,Fraction_Scattered_Residues,Burn Type,Biomass Collection,Pulp Market,Recovered_Stem9Plus,Recovered_Stem6to9,Recovered_Stem4to6,Recovered_Bark9Plus,Recovered_Bark6to9,Recovered_Bark4to6,Recovered_Branch,Recovered_Foliage,Merchantable_Stem9Plus,Merchantable_Stem6to9,Merchantable_Stem4to6,Merchantable_Bark9Plus,Merchantable_Bark6to9,Merchantable_Bark4to6,Merchantable_Branch,Merchantable_Foliage,Piled_Stem9Plus,Piled_Stem6to9,Piled_Stem4to6,Piled_Bark9Plus,Piled_Bark6to9,Piled_Bark4to6,Piled_Branch,Piled_Foliage,Scattered_Stem9Plus,Scattered_Stem6to9,Scattered_Stem4to6,Scattered_Bark9Plus,Scattered_Bark6to9,Scattered_Bark4to6,Scattered_Branch,Scattered_Foliage
1,LT40,TP20,0%,100%,Broadcast,All Tech Recoverable,No,0.1085,0.1085,0.7,0.1085,0.1085,0.7,0.7,0.7,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.0465,0.0465,0.3,0.0465,0.0465,0.3,0.3,0.3
1,GT40,TP20,0%,100%,Broadcast,All Tech Recoverable,No,0.093,0.093,0.6,0.093,0.093,0.6,0.6,0.6,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.062,0.062,0.4,0.062,0.062,0.4,0.4,0.4
2,LT40,TP20,0%,100%,Broadcast,All Tech Recoverable,Yes,0.1085,0.1085,0.1085,0.1085,0.1085,0.1085,0.7,0.7,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.0465,0.0465,0.0465,0.0465,0.0465,0.0465,0.3,0.3
2,GT40,TP20,0%,100%,Broadcast,All Tech Recoverable,Yes,0.093,0.093,0.093,0.093,0.093,0.093,0.6,0.6,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.062,0.062,0.062,0.062,0.062,0.062,0.4,0.4
3,LT40,TP20,0%,100%,Broadcast,No,No,0,0,0,0,0,0,0,0,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.155,0.155,1,0.155,0.155,1,1,1
3,GT40,TP20,0%,100%,Broadcast,No,No,0,0,0,0,0,0,0,0,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.155,0.155,1,0.155,0.155,1,1,1
4,LT40,TP20,0%,100%,Broadcast,No,Yes,0,0,0,0,0,0,0,0,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.155,0.155,0.155,0.155,0.155,0.155,1,1
4,GT40,TP20,0%,100%,Broadcast,No,Yes,0,0,0,0,0,0,0,0,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.155,0.155,0.155,0.155,0.155,0.155,1,1
5,LT40,TP20,0%,100%,None,All Tech Recoverable,No,0.1085,0.1085,0.7,0.1085,0.1085,0.7,0.7,0.7,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.0465,0.0465,0.3,0.0465,0.0465,0.3,0.3,0.3
5,GT40,TP20,0%,100%,None,All Tech Recoverable,No,0.093,0.093,0.6,0.093,0.093,0.6,0.6,0.6,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.062,0.062,0.4,0.062,0.062,0.4,0.4,0.4
6,LT40,TP20,0%,100%,None,All Tech Recoverable,Yes,0.1085,0.1085,0.1085,0.1085,0.1085,0.1085,0.7,0.7,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.0465,0.0465,0.0465,0.0465,0.0465,0.0465,0.3,0.3
6,GT40,TP20,0%,100%,None,All Tech Recoverable,Yes,0.093,0.093,0.093,0.093,0.093,0.093,0.6,0.6,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.062,0.062,0.062,0.062,0.062,0.062,0.4,0.4
7,LT40,TP20,0%,100%,None,No,No,0,0,0,0,0,0,0,0,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.155,0.155,1,0.155,0.155,1,1,1
7,GT40,TP20,0%,100%,None,No,No,0,0,0,0,0,0,0,0,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.155,0.155,1,0.155,0.155,1,1,1
8,LT40,TP20,0%,100%,None,No,Yes,0,0,0,0,0,0,0,0,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.155,0.155,0.155,0.155,0.155,0.155,1,1
8,GT40,TP20,0%,100%,None,No,Yes,0,0,0,0,0,0,0,0,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.155,0.155,0.155,0.155,0.155,0.155,1,1
9,LT40,TP20,30%,70%,Broadcast,All Tech Recoverable,No,0.1085,0.1085,0.7,0.1085,0.1085,0.7,0.7,0.7,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.0465,0.0465,0.3,0.0465,0.0465,0.3,0.3,0.3
9,GT40,TP20,30%,70%,Broadcast,All Tech Recoverable,No,0.093,0.093,0.6,0.093,0.093,0.6,0.6,0.6,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.062,0.062,0.4,0.062,0.062,0.4,0.4,0.4
10,LT40,TP20,30%,70%,Broadcast,All Tech Recoverable,Yes,0.1085,0.1085,0.1085,0.1085,0.1085,0.1085,0.7,0.7,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.0465,0.0465,0.0465,0.0465,0.0465,0.0465,0.3,0.3
10,GT40,TP20,30%,70%,Broadcast,All Tech Recoverable,Yes,0.093,0.093,0.093,0.093,0.093,0.093,0.6,0.6,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.062,0.062,0.062,0.062,0.062,0.062,0.4,0.4
11,LT40,TP20,30%,70%,Broadcast,No,No,0,0,0,0,0,0,0,0,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0.3,0,0,0.3,0.3,0.3,0.155,0.155,0.7,0.155,0.155,0.7,0.7,0.7
11,GT40,TP20,30%,70%,Broadcast,No,No,0,0,0,0,0,0,0,0,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0.3,0,0,0.3,0.3,0.3,0.155,0.155,0.7,0.155,0.155,0.7,0.7,0.7
12,LT40,TP20,30%,70%,Broadcast,No,Yes,0,0,0,0,0,0,0,0,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0.3,0.3,0.155,0.155,0.155,0.155,0.155,0.155,0.7,0.7
12,GT40,TP20,30%,70%,Broadcast,No,Yes,0,0,0,0,0,0,0,0,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0.3,0.3,0.155,0.155,0.155,0.155,0.155,0.155,0.7,0.7
13,LT40,TP20,30%,70%,Broadcast,Piles Only,No,0,0,0.2708,0,0,0.2708,0.2708,0.2708,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.155,0.155,0.7293,0.155,0.155,0.7293,0.7293,0.7293
13,GT40,TP20,30%,70%,Broadcast,Piles Only,No,0,0,0.2708,0,0,0.2708,0.2708,0.2708,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.155,0.155,0.7293,0.155,0.155,0.7293,0.7293,0.7293
14,LT40,TP20,30%,70%,Broadcast,Piles Only,Yes,0,0,0,0,0,0,0.2708,0.2708,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.155,0.155,0.155,0.155,0.155,0.155,0.7293,0.7293
14,GT40,TP20,30%,70%,Broadcast,Piles Only,Yes,0,0,0,0,0,0,0.2708,0.2708,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.155,0.155,0.155,0.155,0.155,0.155,0.7293,0.7293
15,LT40,TP20,30%,70%,None,All Tech Recoverable,No,0.1085,0.1085,0.7,0.1085,0.1085,0.7,0.7,0.7,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.0465,0.0465,0.3,0.0465,0.0465,0.3,0.3,0.3
15,GT40,TP20,30%,70%,None,All Tech Recoverable,No,0.093,0.093,0.6,0.093,0.093,0.6,0.6,0.6,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.062,0.062,0.4,0.062,0.062,0.4,0.4,0.4
16,LT40,TP20,30%,70%,None,All Tech Recoverable,Yes,0.1085,0.1085,0.1085,0.1085,0.1085,0.1085,0.7,0.7,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.0465,0.0465,0.0465,0.0465,0.0465,0.0465,0.3,0.3
16,GT40,TP20,30%,70%,None,All Tech Recoverable,Yes,0.093,0.093,0.093,0.093,0.093,0.093,0.6,0.6,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0.062,0.062,0.062,0.062,0.062,0.062,0.4,0.4
17,LT40,TP20,30%,70%,None,No,No,0,0,0,0,0,0,0,0,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0.3,0,0,0.3,0.3,0.3,0.155,0.155,0.7,0.155,0.155,0.7,0.7,0.7
17,GT40,TP20,30%,70%,None,No,No,0,0,0,0,0,0,0,0,0.845,0.845,0,0.845,0.845,0,0,0,0,0,0.3,0,0,0.3,0.3,0.3,0.155,0.155,0.7,0.155,0.155,0.7,0.7,0.7
18,LT40,TP20,30%,70%,None,No,Yes,0,0,0,0,0,0,0,0,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0.3,0.3,0.155,0.155,0.155,0.155,0.155,0.155,0.7,0.7
18,GT40,TP20,30%,70%,None,No,Yes,0,0,0,0,0,0,0,0,0.845,0.845,0.845,0.845,0.845,0.845,0,0,0,0,0,0,0,0,0.3,0.3,0.155,0.155,0.155,0.155,0.155,0.155,0.7,0.7
